Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,22.97
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,26.94
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,41.94
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,43.48
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,37.04
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,51.46
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,46.67
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,48.54
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,56.73
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,46.15
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,49.04
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,65.87
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,54.59
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,53.20
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,59.49
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,35.29
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,35.71
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,36.00
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,30.43
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,36.46
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,23.40
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,48.91
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,45.05
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,48.39
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,50.43
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,45.09
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,44.41
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,52.62
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,38.37
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,61.18
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,48.94
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,59.79
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,61.86
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,54.26
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,67.68
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,57.73
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,57.00
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,70.34
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,67.42
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,60.47
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,70.08
