Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2013,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.23
2014,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.34
2015,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.22
2016,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.29
2017,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.37
2018,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.24
2019,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.19
2020,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.27
2021,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.23
2010,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,29.20
2011,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,27.30
2012,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,27.75
2013,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,28.03
2014,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,31.02
2015,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,28.66
2016,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,31.05
2017,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,31.23
2018,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,28.24
2019,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,27.23
2020,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,29.42
2021,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,28.08
